MMSI,CoT,Icon,Comments
512000600,a-f-S-C-F,,HMNZS Te Kaha (F77)
512000700,a-f-S-C-F,,HMNZS Te Mana (F111)
512155000,a-f-S-C-P,,HMNZS Otago (P148)
512159000,a-f-S-C-P,,HMNZS Wellington (P55)
512158000,a-f-S-C-P,,HMNZS Taupo (P3570)
512156000,a-f-S-C-P,,HMNZS Hawea (P3571)
512153000,a-f-S-C-A-L-S,,HMNZS Canterbury (L421)
512450000,a-f-S-A-O,,HMNZS Aotearoa (A11)
512008091,a-f-S-N-N-R,,RESCUE ALPHA
512002004,a-f-S-N-N-R,,LPC RESCUE
512005499,a-f-S-N-N-R,,BAY RESCUE II
512004731,a-f-S-N-N-R,,LION RESCUE
512009861,a-f-S-N-N-R,,TIES RESCUE
512000450,a-f-S-N-N-R,,TECT RESCUE
512205790,a-f-S-N-N-R,,TECT RESCUE
512003446,a-f-S-N-N-R,,CAPE RESCUE
512000026,a-f-S-N-N-R,,MANA RESCUE 1
512008823,a-f-S-N-N-R,,FAST RESCUE BOAT
512005096,a-f-S-N-N-R,,BLUFF RESCUE
512006508,a-f-S-N-N-R,,KAWAU RESCUE
512004419,a-f-S-N-N-R,,CIRCA RESCUE
512009350,a-f-S-N-N-R,,LAKES RESCUE
512009865,a-f-S-N-N-R,,AVOCO RESCUE
512008097,a-f-S-N-N-R,,MOANA RESCUE
512011249,a-f-S-N-N-R,,JANAS RESCUE BOAT
512209360,a-f-S-N-N-R,,CLYDE RESCUE II
512008089,a-f-S-N-N-R,,TIMARU RESCUE
512008088,a-f-S-N-N-R,,KOKAKO RESCUE
512008083,a-f-S-N-N-R,,IHENGA RESCUE
512001111,a-f-S-N-N-R,,HOWICK RESCUE 1
512008085,a-f-S-N-N-R,,HUKATAI RESCUE
512008247,a-f-S-N-N-R,,KAIAPOI RESCUE
512005198,a-f-S-N-N-R,,WAIHEKE RESCUE
512217770,a-f-S-N-N-R,,RUSSELL RESCUE
512009859,a-f-S-N-N-R,,PAUANUI RESCUE
512007177,a-f-S-N-N-R,,KOHINUI RESCUE
512009299,a-f-S-N-N-R,,SEALORD RESCUE
512003143,a-f-S-N-N-R,,PHOENIX RESCUE
512009860,a-f-S-N-N-R,,SEALEGS RESCUE
512008098,a-f-S-N-N-R,,OPOTIKI RESCUE II
512008080,a-f-S-N-N-R,,TUTUKAKA RESCUE
512010942,a-f-S-N-N-R,,ATLANTIS RESCUE
512009856,a-f-S-N-N-R,,KAIKOURA RESCUE
512009853,a-f-S-N-N-R,,HOKIANGA RESCUE
512009864,a-f-S-N-N-R,,WINSTONE RESCUE
512008076,a-f-S-N-N-R,,TIRIKAWA RESCUE
512008090,a-f-S-N-N-R,,TAKARETO RESCUE
512000637,a-f-S-N-N-R,,TRILLIAN RESCUE
512008084,a-f-S-N-N-R,,WAIARIKI RESCUE
512003416,a-f-S-N-N-R,,HIBISCUS RESCUE 1
512004491,a-f-S-N-N-R,,HIBISCUS RESCUE 2
512008011,a-f-S-N-N-R,,PAPAKURA RESCUE 2
512008180,a-f-S-N-N-R,,PAPAKURA RESCUE ONE
512003296,a-f-S-N-N-R,,WHAKATANE RESCUE
512006451,a-f-S-N-N-R,,MAHUTONGA RESCUE
512009850,a-f-S-N-N-R,,CRV TAUPO RESCUE
512008077,a-f-S-N-N-R,,JOE HAWKE RESCUE
512009857,a-f-S-N-N-R,,MAURI ORA RESCUE
512003917,a-f-S-N-N-R,,GALLAGHER RESCUE
512009852,a-f-S-N-N-R,,GALLAGHER RESCUE
512005781,a-f-S-N-N-R,,WHANGAROA RESCUE
512217010,a-f-S-N-N-R,,WHANGANUI RESCUE
512008078,a-f-S-N-N-R,,WHANGARURU RESCUE
512008087,a-f-S-N-N-R,,QUEENSTOWN RESCUE
512005452,a-f-S-N-N-R,,BLUEBRIDGE RESCUE
512009851,a-f-S-N-N-R,,FREEMASONS RESCUE
512006322,a-f-S-N-N-R,,BLUE ARROW RESCUE
512006847,a-f-S-N-N-R,,GJ GARDNER RESCUE
512000237,a-f-S-N-N-R,,NORTH SHORE RESCUE
512008082,a-f-S-N-N-R,,MARLBOROUGH RESCUE
512009862,a-f-S-N-N-R,,TODD ENERGY RESCUE
512007379,a-f-S-N-N-R,,RICHARDSONS RESCUE
512009855,a-f-S-N-N-R,,MILLS ALBERT RESCUE
512001096,a-f-S-N-N-R,,GISBORNE L F RESCUE
512004533,a-f-S-N-N-R,,AIRPORTMARINERESCUE
512008075,a-f-S-N-N-R,,LAKE BRUNNER RESCUE
512005466,a-f-S-N-N-R,,PUB CHARITY C RESCUE
512008095,a-f-S-N-N-R,,WAITOABARRIER RESCUE
512002235,a-f-S-N-N-R,,LENSES ONLINE RESCUE
512009284,a-f-S-N-N-L,,POLICE 2
512009324,a-f-S-N-N-L,,POLICE 3
512005652,a-f-S-N-N-L,,POLICE 8
